95,1026
44,2340
52,3486
32,4833
54,2990
97,2903
1,1982
88,1342
3,2000
86,3233
72,1722
57,4206
22,2805
5,3387
8,3147
4,1727
31,2454
25,4341
29,3738
47,2148
94,3993
96,3091
76,4230
89,1531
62,2094
9,2486
95,2166
20,1213
80,3222
0,2585
26,2055
98,3053
71,1912
66,4997
15,1457
72,2913
66,2970
11,4390
84,1869
75,2436
5,2016
99,1290
31,1252
10,2587
23,1927
8,4960
36,1103
60,3742
51,2980
21,2099
5,2440
98,4962
34,4232
8,1401
36,1854
63,3551
56,4843
12,4394
99,3327
64,4960
41,4340
41,4364
47,1552
87,1041
11,2323
63,1245
9,4550
77,4096
24,2780
12,4174
15,1317
24,4984
54,1706
3,2279
92,1171
16,3278
92,1132
0,2692
4,1175
90,1756
11,1741
17,1007
77,4598
13,4247
8,1168
71,3733
34,1071
86,3400
93,4810
15,1433
34,3981
98,4254
31,4106
86,2046
19,1547
11,3686
67,3649
40,1768
94,4548
95,4912
